Airline,Date_of_Journey,Source,Destination,Departure_Time,Arrival_Time,Duration,Total_Stops,Price,Month Name,Day of Month,Day Name,Week of Year,Month
SpiceJet,2019-05-21,Kolkata,Banglore,15.05,20.2,5.25,1,4649,May,21,Tuesday,21,5
Air India,2019-05-18,Kolkata,Banglore,14.15,16.45,2.5,0,6245,May,18,Saturday,20,5
Jet Airways,2019-06-03,Banglore,New Delhi,7.0,13.15,6.25,1,19225,June,3,Monday,23,6
Jet Airways,2019-03-06,Delhi,Cochin,7.05,19.0,11.92,1,14924,March,6,Wednesday,10,3
Multiple carriers,2019-05-21,Delhi,Cochin,7.05,18.1,11.08,1,9646,May,21,Tuesday,21,5
Air India,2019-03-15,Banglore,New Delhi,6.45,15.15,8.5,1,8714,March,15,Friday,11,3
Jet Airways,2019-05-18,Delhi,Cochin,20.55,19.0,22.08,1,12373,May,18,Saturday,20,5
Air Asia,2019-06-05,Banglore,Delhi,11.1,13.55,2.75,0,3383,June,5,Wednesday,23,6
Multiple carriers,2019-03-21,Delhi,Cochin,9.0,21.0,12.0,1,13062,March,21,Thursday,12,3
SpiceJet,2019-03-24,Banglore,New Delhi,5.45,8.35,2.83,0,3527,March,24,Sunday,12,3
IndiGo,2019-05-27,Banglore,Delhi,4.0,6.5,2.83,0,3943,May,27,Monday,22,5
Air India,2019-03-05,Chennai,Kolkata,11.4,13.55,2.25,0,4667,March,5,Tuesday,10,3
Air India,2019-05-15,Kolkata,Banglore,19.0,11.05,16.08,1,6117,May,15,Wednesday,20,5
Jet Airways,2019-06-27,Delhi,Cochin,23.05,19.0,19.92,2,11150,June,27,Thursday,26,6
Jet Airways,2019-09-03,Delhi,Cochin,11.0,14.15,3.25,0,7202,September,3,Tuesday,36,9
Jet Airways,2019-01-05,Kolkata,Banglore,9.35,10.55,25.33,1,12121,January,5,Saturday,1,1
IndiGo,2019-03-24,Banglore,New Delhi,22.2,1.1,2.83,0,4377,March,24,Sunday,12,3
IndiGo,2019-06-18,Banglore,Delhi,21.15,0.15,3.0,0,3943,June,18,Tuesday,25,6
Air Asia,2019-03-04,Banglore,Delhi,23.55,2.45,2.83,0,4483,March,4,Monday,10,3
Jet Airways,2019-03-24,Kolkata,Banglore,19.45,12.0,16.25,1,14231,March,24,Sunday,12,3
Air India,2019-01-03,Banglore,New Delhi,8.5,23.55,15.08,2,17345,January,3,Thursday,1,1
Vistara,2019-06-03,Chennai,Kolkata,7.05,9.2,2.25,0,7414,June,3,Monday,23,6
Multiple carriers,2019-06-05,Delhi,Cochin,19.0,1.3,6.5,1,8073,June,5,Wednesday,23,6
Vistara,2019-06-03,Mumbai,Hyderabad,15.4,16.45,25.08,1,12395,June,3,Monday,23,6
Air India,2019-06-06,Kolkata,Banglore,9.25,21.5,12.42,1,8366,June,6,Thursday,23,6
Air India,2019-03-04,Delhi,Cochin,6.05,9.25,27.33,1,5117,March,4,Monday,10,3
Multiple carriers,2019-03-06,Delhi,Cochin,8.45,19.0,10.25,1,12524,March,6,Wednesday,10,3
IndiGo,2019-05-15,Delhi,Cochin,15.0,1.3,10.5,1,7191,May,15,Wednesday,20,5
Vistara,2019-05-24,Chennai,Kolkata,7.05,9.2,2.25,0,3687,May,24,Friday,21,5
IndiGo,2019-06-24,Delhi,Cochin,10.35,21.0,10.42,1,5894,June,24,Monday,26,6
Vistara,2019-04-24,Banglore,Delhi,9.45,12.35,2.83,0,5403,April,24,Wednesday,17,4
Air India,2019-06-05,Mumbai,Hyderabad,13.55,15.25,1.5,0,3625,June,5,Wednesday,23,6
Air India,2019-05-21,Delhi,Cochin,5.55,19.15,13.33,2,10861,May,21,Tuesday,21,5
IndiGo,2019-12-03,Chennai,Kolkata,13.2,15.35,2.25,0,6297,December,3,Tuesday,49,12
Jet Airways,2019-01-06,Mumbai,Hyderabad,7.05,8.3,1.42,0,5678,January,6,Sunday,1,1
Jet Airways,2019-09-03,Banglore,New Delhi,5.45,8.15,26.5,1,9134,September,3,Tuesday,36,9
Multiple carriers,2019-06-24,Delhi,Cochin,11.4,19.0,7.33,1,10791,June,24,Monday,26,6
Jet Airways,2019-06-24,Delhi,Cochin,23.05,12.35,13.5,2,12819,June,24,Monday,26,6
IndiGo,2019-03-21,Delhi,Cochin,5.05,10.05,5.0,1,6893,March,21,Thursday,12,3
Vistara,2019-09-03,Banglore,New Delhi,9.5,12.35,2.75,0,7240,September,3,Tuesday,36,9
GoAir,2019-03-04,Banglore,Delhi,11.4,14.3,2.83,0,3898,March,4,Monday,10,3
IndiGo,2019-03-04,Mumbai,Hyderabad,6.25,7.55,1.5,0,4049,March,4,Monday,10,3
Jet Airways,2019-06-15,Delhi,Cochin,17.3,12.35,19.08,1,10262,June,15,Saturday,24,6
SpiceJet,2019-03-21,Chennai,Kolkata,8.2,10.35,2.25,0,3332,March,21,Thursday,12,3
Jet Airways,2019-09-06,Kolkata,Banglore,21.1,12.0,14.83,1,10844,September,6,Friday,36,9
Jet Airways,2019-03-24,Banglore,New Delhi,19.55,22.35,2.67,0,7229,March,24,Sunday,12,3
Jet Airways,2019-06-05,Kolkata,Banglore,6.3,4.4,22.17,1,13941,June,5,Wednesday,23,6
IndiGo,2019-06-27,Delhi,Cochin,11.25,21.0,9.58,1,5894,June,27,Thursday,26,6
Multiple carriers,2019-05-18,Delhi,Cochin,9.0,19.0,10.0,1,10197,May,18,Saturday,20,5
Jet Airways,2019-06-03,Banglore,New Delhi,14.05,11.25,21.33,1,13712,June,3,Monday,23,6
IndiGo,2019-06-24,Delhi,Cochin,2.0,7.25,5.42,1,5636,June,24,Monday,26,6
Jet Airways,2019-06-06,Delhi,Cochin,9.4,4.25,18.75,2,13014,June,6,Thursday,23,6
Jet Airways,2019-01-04,Kolkata,Banglore,8.25,20.45,12.33,1,7064,January,4,Friday,1,1
Jet Airways,2019-05-24,Kolkata,Banglore,20.25,14.25,18.0,1,10703,May,24,Friday,21,5
Multiple carriers,2019-05-27,Delhi,Cochin,13.15,22.3,9.25,1,9646,May,27,Monday,22,5
Multiple carriers,2019-06-03,Delhi,Cochin,2.15,13.2,11.08,1,17057,June,3,Monday,23,6
Jet Airways,2019-12-03,Banglore,New Delhi,16.55,10.25,17.5,1,13817,December,3,Tuesday,49,12
Air India,2019-06-03,Delhi,Cochin,5.55,19.15,13.33,2,13748,June,3,Monday,23,6
Air India,2019-04-21,Kolkata,Banglore,20.45,23.2,2.58,0,4880,April,21,Sunday,16,4
IndiGo,2019-06-21,Chennai,Kolkata,5.15,7.4,2.42,0,3540,June,21,Friday,25,6
SpiceJet,2019-05-15,Banglore,Delhi,5.55,8.35,2.67,0,3257,May,15,Wednesday,20,5
Jet Airways,2019-03-06,Banglore,Delhi,19.5,22.5,3.0,0,6478,March,6,Wednesday,10,3
Jet Airways,2019-06-18,Mumbai,Hyderabad,7.05,8.3,1.42,0,8040,June,18,Tuesday,25,6
Jet Airways,2019-12-06,Delhi,Cochin,20.0,12.35,16.58,2,14300,December,6,Friday,49,12
Jet Airways,2019-05-15,Kolkata,Banglore,8.25,20.45,12.33,1,14781,May,15,Wednesday,20,5
Jet Airways,2019-09-06,Kolkata,Banglore,20.0,8.15,12.25,1,14939,September,6,Friday,36,9
Jet Airways,2019-06-24,Delhi,Cochin,20.55,4.25,7.5,1,10262,June,24,Monday,26,6
Air India,2019-12-05,Kolkata,Banglore,14.35,14.35,24.0,1,6528,December,5,Thursday,49,12
Air India,2019-01-05,Banglore,Delhi,6.1,8.55,2.75,0,6121,January,5,Saturday,1,1
Jet Airways,2019-05-18,Delhi,Cochin,19.3,4.25,8.92,2,13029,May,18,Saturday,20,5
Multiple carriers,2019-03-27,Delhi,Cochin,11.4,18.5,7.17,1,11421,March,27,Wednesday,13,3
Multiple carriers,2019-03-27,Delhi,Cochin,4.45,19.15,14.5,1,7574,March,27,Wednesday,13,3
Air India,2019-09-05,Delhi,Cochin,12.55,19.15,30.33,2,11596,September,5,Thursday,36,9
Jet Airways,2019-05-24,Delhi,Cochin,23.05,19.0,19.92,2,15129,May,24,Friday,21,5
Jet Airways,2019-03-18,Banglore,New Delhi,14.05,5.05,15.0,1,13555,March,18,Monday,12,3
IndiGo,2019-12-04,Banglore,Delhi,18.55,21.5,2.92,0,5780,December,4,Wednesday,49,12
Vistara,2019-12-05,Kolkata,Banglore,20.2,9.05,12.75,1,9397,December,5,Thursday,49,12
Jet Airways,2019-06-03,Delhi,Cochin,18.15,4.25,10.17,1,17024,June,3,Monday,23,6
GoAir,2019-06-27,Delhi,Cochin,7.0,12.55,5.92,1,5281,June,27,Thursday,26,6
Multiple carriers,2019-05-18,Delhi,Cochin,7.05,22.3,15.42,1,10348,May,18,Saturday,20,5
Air India,2019-06-03,Delhi,Cochin,17.2,9.25,16.08,1,12677,June,3,Monday,23,6
Multiple carriers,2019-03-03,Delhi,Cochin,15.25,1.35,10.17,1,15147,March,3,Sunday,9,3
Vistara,2019-12-06,Banglore,Delhi,7.0,9.4,2.67,0,4668,December,6,Friday,49,12
Jet Airways,2019-09-05,Delhi,Cochin,7.05,19.0,11.92,1,15554,September,5,Thursday,36,9
SpiceJet,2019-09-04,Banglore,Delhi,5.55,8.35,2.67,0,3971,September,4,Wednesday,36,9
Air India,2019-03-05,Mumbai,Hyderabad,15.0,16.25,1.42,0,3100,March,5,Tuesday,10,3
Jet Airways,2019-06-05,Kolkata,Banglore,20.0,10.05,14.08,1,9663,June,5,Wednesday,23,6
Air India,2019-01-03,Delhi,Cochin,23.0,19.15,20.25,1,27430,January,3,Thursday,1,1
IndiGo,2019-12-05,Chennai,Kolkata,5.15,7.4,2.42,0,3540,December,5,Thursday,49,12
Air India,2019-05-21,Kolkata,Banglore,12.0,11.1,23.17,2,10676,May,21,Tuesday,21,5
Jet Airways,2019-12-06,Kolkata,Banglore,14.05,8.15,18.17,1,13044,December,6,Friday,49,12
Jet Airways,2019-06-05,Kolkata,Banglore,20.0,12.0,16.0,1,14388,June,5,Wednesday,23,6
IndiGo,2019-06-24,Banglore,Delhi,4.0,6.5,2.83,0,3943,June,24,Monday,26,6
IndiGo,2019-03-06,Chennai,Kolkata,14.45,17.05,2.33,0,3597,March,6,Wednesday,10,3
Air India,2019-03-21,Banglore,New Delhi,11.5,19.5,8.0,1,5932,March,21,Thursday,12,3
Jet Airways,2019-06-15,Delhi,Cochin,11.3,4.25,16.92,1,10262,June,15,Saturday,24,6
Vistara,2019-12-05,Delhi,Cochin,14.4,17.5,3.17,0,6216,December,5,Thursday,49,12
IndiGo,2019-06-15,Kolkata,Banglore,20.25,23.1,2.75,0,4804,June,15,Saturday,24,6
Multiple carriers,2019-05-21,Delhi,Cochin,11.3,1.3,14.0,1,14067,May,21,Tuesday,21,5
Jet Airways,2019-05-18,Delhi,Cochin,19.1,19.0,23.83,2,15129,May,18,Saturday,20,5
Jet Airways,2019-06-06,Delhi,Cochin,6.45,4.25,21.67,2,13376,June,6,Thursday,23,6
Air India,2019-06-27,Delhi,Cochin,22.0,19.15,21.25,2,10441,June,27,Thursday,26,6
Jet Airways,2019-05-24,Banglore,Delhi,6.0,8.45,2.75,0,4030,May,24,Friday,21,5
Jet Airways,2019-03-03,Delhi,Cochin,8.0,18.5,10.83,1,17024,March,3,Sunday,9,3
Multiple carriers,2019-09-04,Delhi,Cochin,17.3,1.3,8.0,1,13017,September,4,Wednesday,36,9
GoAir,2019-06-06,Kolkata,Banglore,23.3,7.45,8.25,1,6686,June,6,Thursday,23,6
IndiGo,2019-06-15,Delhi,Cochin,2.0,7.25,5.42,1,5636,June,15,Saturday,24,6
IndiGo,2019-09-06,Delhi,Cochin,7.35,16.1,8.58,1,6442,September,6,Friday,36,9
Multiple carriers,2019-05-21,Delhi,Cochin,13.05,0.55,11.83,1,9486,May,21,Tuesday,21,5
Jet Airways,2019-05-21,Kolkata,Banglore,20.0,23.35,27.58,1,10844,May,21,Tuesday,21,5
Jet Airways,2019-03-06,Delhi,Cochin,20.0,4.25,8.42,2,15318,March,6,Wednesday,10,3
Air India,2019-03-04,Delhi,Cochin,12.3,9.25,20.92,1,5117,March,4,Monday,10,3
IndiGo,2019-06-24,Delhi,Cochin,15.1,20.0,4.83,1,6147,June,24,Monday,26,6
Multiple carriers,2019-09-06,Delhi,Cochin,12.5,21.0,8.17,1,7005,September,6,Friday,36,9
SpiceJet,2019-03-04,Kolkata,Banglore,22.2,0.4,2.33,0,3873,March,4,Monday,10,3
Jet Airways,2019-03-21,Delhi,Cochin,18.25,18.5,24.42,2,9270,March,21,Thursday,12,3
GoAir,2019-06-27,Banglore,Delhi,11.4,14.3,2.83,0,3898,June,27,Thursday,26,6
Jet Airways,2019-12-05,Kolkata,Banglore,8.25,20.45,12.33,1,14781,December,5,Thursday,49,12
Jet Airways,2019-05-24,Kolkata,Banglore,20.0,8.15,12.25,1,8586,May,24,Friday,21,5
Air India,2019-09-05,Kolkata,Banglore,8.2,7.55,23.58,2,10697,September,5,Thursday,36,9
Jet Airways,2019-06-27,Delhi,Cochin,20.0,12.35,16.58,2,14300,June,27,Thursday,26,6
IndiGo,2019-03-03,Banglore,New Delhi,18.55,21.45,2.83,0,8855,March,3,Sunday,9,3
Jet Airways,2019-12-05,Kolkata,Banglore,16.3,18.15,25.75,1,10844,December,5,Thursday,49,12
Jet Airways,2019-06-03,Delhi,Cochin,2.15,4.25,26.17,1,17024,June,3,Monday,23,6
Jet Airways,2019-01-05,Kolkata,Banglore,9.35,14.25,28.83,1,9314,January,5,Saturday,1,1
IndiGo,2019-03-24,Banglore,New Delhi,0.4,3.25,2.75,0,4777,March,24,Sunday,12,3
Air India,2019-09-06,Kolkata,Banglore,12.0,13.15,25.25,1,7662,September,6,Friday,36,9
IndiGo,2019-09-05,Delhi,Cochin,6.5,16.1,9.33,1,6442,September,5,Thursday,36,9
SpiceJet,2019-12-06,Delhi,Cochin,8.45,13.15,4.5,1,5264,December,6,Friday,49,12
Jet Airways,2019-05-27,Delhi,Cochin,13.0,4.25,15.42,1,12898,May,27,Monday,22,5
Air India,2019-03-03,Mumbai,Hyderabad,13.55,15.25,1.5,0,6092,March,3,Sunday,9,3
SpiceJet,2019-05-21,Banglore,Delhi,5.55,8.35,2.67,0,3311,May,21,Tuesday,21,5
Jet Airways,2019-03-27,Delhi,Cochin,19.15,4.25,9.17,1,6540,March,27,Wednesday,13,3
IndiGo,2019-05-27,Banglore,Delhi,1.3,4.15,2.75,0,3419,May,27,Monday,22,5
Jet Airways,2019-03-04,Delhi,Cochin,14.0,12.35,22.58,1,5177,March,4,Monday,10,3
Air India,2019-04-18,Delhi,Cochin,18.05,21.1,3.08,0,8246,April,18,Thursday,16,4
Jet Airways,2019-09-06,Kolkata,Banglore,9.35,21.05,11.5,1,14676,September,6,Friday,36,9
Multiple carriers,2019-06-27,Delhi,Cochin,11.3,21.0,9.5,1,13587,June,27,Thursday,26,6
Jet Airways,2019-06-05,Kolkata,Banglore,21.1,9.2,12.17,1,9663,June,5,Wednesday,23,6
Jet Airways,2019-12-06,Kolkata,Banglore,16.3,10.05,17.58,1,13044,December,6,Friday,49,12
IndiGo,2019-03-04,Delhi,Cochin,20.25,1.3,5.08,1,5073,March,4,Monday,10,3
Vistara,2019-05-21,Kolkata,Banglore,17.0,18.5,25.83,1,9345,May,21,Tuesday,21,5
Jet Airways,2019-06-05,Kolkata,Banglore,14.05,10.05,20.0,1,9663,June,5,Wednesday,23,6
Multiple carriers,2019-05-21,Delhi,Cochin,8.0,21.0,13.0,1,14277,May,21,Tuesday,21,5
Jet Airways,2019-01-06,Delhi,Cochin,10.0,4.25,18.42,1,10262,January,6,Sunday,1,1
Jet Airways,2019-03-27,Mumbai,Hyderabad,19.35,21.05,1.5,0,5678,March,27,Wednesday,13,3
Multiple carriers,2019-05-15,Delhi,Cochin,16.0,1.3,9.5,1,13727,May,15,Wednesday,20,5
Jet Airways,2019-06-05,Kolkata,Banglore,20.0,12.0,16.0,1,9663,June,5,Wednesday,23,6
IndiGo,2019-12-05,Chennai,Kolkata,14.45,17.05,2.33,0,3858,December,5,Thursday,49,12
SpiceJet,2019-06-24,Delhi,Cochin,8.45,13.15,4.5,1,4812,June,24,Monday,26,6
IndiGo,2019-06-27,Delhi,Cochin,21.5,3.35,5.75,1,5775,June,27,Thursday,26,6
Jet Airways,2019-06-06,Kolkata,Banglore,9.35,9.45,24.17,1,10539,June,6,Thursday,23,6
IndiGo,2019-03-06,Kolkata,Banglore,15.3,18.05,2.58,0,4804,March,6,Wednesday,10,3
Air Asia,2019-12-06,Banglore,Delhi,11.1,13.55,2.75,0,3383,December,6,Friday,49,12
IndiGo,2019-03-03,Banglore,New Delhi,12.1,17.05,4.92,1,8738,March,3,Sunday,9,3
Air India,2019-03-27,Delhi,Cochin,5.15,6.5,25.58,1,7165,March,27,Wednesday,13,3
IndiGo,2019-06-24,Delhi,Cochin,16.1,22.3,6.33,1,6412,June,24,Monday,26,6
Jet Airways,2019-06-27,Banglore,Delhi,18.55,22.0,3.08,0,8016,June,27,Thursday,26,6
Jet Airways,2019-12-03,Banglore,New Delhi,20.35,15.15,18.67,1,11087,December,3,Tuesday,49,12
SpiceJet,2019-06-27,Chennai,Kolkata,9.45,12.0,2.25,0,3543,June,27,Thursday,26,6
Jet Airways,2019-12-06,Kolkata,Banglore,16.3,4.4,12.17,1,12471,December,6,Friday,49,12
Jet Airways,2019-06-24,Delhi,Cochin,9.0,4.25,19.42,1,10262,June,24,Monday,26,6
Air India,2019-03-18,Banglore,New Delhi,13.2,16.1,2.83,0,4441,March,18,Monday,12,3
Multiple carriers,2019-03-27,Delhi,Cochin,7.05,15.3,8.42,1,12537,March,27,Wednesday,13,3
GoAir,2019-03-24,Kolkata,Banglore,22.25,7.4,9.25,1,10091,March,24,Sunday,12,3
Air India,2019-03-06,Banglore,Delhi,21.05,23.55,2.83,0,6961,March,6,Wednesday,10,3
IndiGo,2019-04-24,Delhi,Cochin,5.35,8.5,3.25,0,5013,April,24,Wednesday,17,4
Air India,2019-05-18,Delhi,Cochin,5.1,8.0,2.83,0,6934,May,18,Saturday,20,5
Multiple carriers,2019-03-06,Delhi,Cochin,6.4,19.0,12.33,1,10877,March,6,Wednesday,10,3
Jet Airways,2019-04-18,Banglore,Delhi,15.15,18.1,2.92,0,7229,April,18,Thursday,16,4
IndiGo,2019-03-27,Delhi,Cochin,16.0,1.35,9.58,1,7048,March,27,Wednesday,13,3
Vistara,2019-06-27,Banglore,Delhi,17.0,19.35,2.58,0,4878,June,27,Thursday,26,6
Jet Airways,2019-05-21,Kolkata,Banglore,14.05,23.35,9.5,1,10844,May,21,Tuesday,21,5
Jet Airways,2019-05-18,Delhi,Cochin,23.05,4.25,29.33,2,15129,May,18,Saturday,20,5
IndiGo,2019-12-05,Banglore,Delhi,0.3,3.25,2.92,0,3943,December,5,Thursday,49,12
SpiceJet,2019-06-06,Delhi,Cochin,6.05,11.2,5.25,1,5583,June,6,Thursday,23,6
Multiple carriers,2019-06-06,Delhi,Cochin,7.05,16.1,9.08,1,9646,June,6,Thursday,23,6
Multiple carriers,2019-03-06,Delhi,Cochin,8.3,19.15,10.75,1,7677,March,6,Wednesday,10,3
IndiGo,2019-01-06,Delhi,Cochin,5.1,10.05,4.92,1,6842,January,6,Sunday,1,1
Jet Airways,2019-06-24,Mumbai,Hyderabad,8.45,10.15,1.5,0,4995,June,24,Monday,26,6
Vistara,2019-09-06,Kolkata,Banglore,7.1,18.5,11.67,1,9555,September,6,Friday,36,9
IndiGo,2019-01-06,Banglore,Delhi,1.3,4.15,2.75,0,4077,January,6,Sunday,1,1
Jet Airways,2019-12-05,Banglore,Delhi,15.15,18.1,2.92,0,7229,December,5,Thursday,49,12
Multiple carriers,2019-09-06,Delhi,Cochin,9.0,19.0,10.0,1,12192,September,6,Friday,36,9
Air India,2019-12-04,Banglore,Delhi,10.0,12.45,2.75,0,5911,December,4,Wednesday,49,12
Air India,2019-12-06,Delhi,Cochin,9.0,19.15,10.25,1,8372,December,6,Friday,49,12
Jet Airways,2019-03-18,Mumbai,Hyderabad,7.1,8.35,1.42,0,4995,March,18,Monday,12,3
Multiple carriers,2019-09-05,Delhi,Cochin,10.0,19.15,9.25,1,14323,September,5,Thursday,36,9
Jet Airways,2019-09-06,Delhi,Cochin,5.3,4.25,22.92,2,13014,September,6,Friday,36,9
Air India,2019-06-06,Delhi,Cochin,14.25,19.15,28.83,2,13591,June,6,Thursday,23,6
Jet Airways,2019-03-03,Delhi,Cochin,5.25,18.5,37.42,2,18799,March,3,Sunday,9,3
IndiGo,2019-04-27,Banglore,Delhi,23.3,2.2,2.83,0,3943,April,27,Saturday,17,4
SpiceJet,2019-05-21,Mumbai,Hyderabad,5.45,7.15,1.5,0,1965,May,21,Tuesday,21,5
Jet Airways,2019-05-27,Mumbai,Hyderabad,10.2,11.5,1.5,0,4995,May,27,Monday,22,5
Air India,2019-03-24,Kolkata,Banglore,16.5,18.3,25.67,1,14641,March,24,Sunday,12,3
Air India,2019-12-04,Kolkata,Banglore,20.45,23.2,2.58,0,4460,December,4,Wednesday,49,12
Air India,2019-05-18,Delhi,Cochin,13.0,19.15,6.25,1,10191,May,18,Saturday,20,5
Jet Airways,2019-09-03,Delhi,Cochin,2.15,19.45,17.5,1,13843,September,3,Tuesday,36,9
IndiGo,2019-01-05,Delhi,Cochin,21.5,3.35,5.75,1,6349,January,5,Saturday,1,1
Air Asia,2019-01-05,Kolkata,Banglore,10.2,12.55,2.58,0,4409,January,5,Saturday,1,1
Jet Airways,2019-06-03,Delhi,Cochin,18.15,19.45,25.5,1,17024,June,3,Monday,23,6
Multiple carriers,2019-05-18,Delhi,Cochin,7.05,21.0,13.92,1,13727,May,18,Saturday,20,5
IndiGo,2019-03-15,Banglore,New Delhi,18.25,21.2,2.92,0,8855,March,15,Friday,11,3
Multiple carriers,2019-06-24,Delhi,Cochin,8.45,19.0,10.25,1,12524,June,24,Monday,26,6
Jet Airways,2019-03-18,Banglore,New Delhi,11.4,20.2,8.67,1,13555,March,18,Monday,12,3
Jet Airways,2019-06-06,Kolkata,Banglore,6.3,12.0,5.5,1,10844,June,6,Thursday,23,6
Multiple carriers,2019-09-06,Delhi,Cochin,9.0,21.0,12.0,1,13587,September,6,Friday,36,9
SpiceJet,2019-12-06,Chennai,Kolkata,9.45,12.0,2.25,0,3543,December,6,Friday,49,12
Vistara,2019-03-18,Chennai,Kolkata,7.05,9.2,2.25,0,4842,March,18,Monday,12,3
IndiGo,2019-04-24,Banglore,Delhi,23.3,2.2,2.83,0,3943,April,24,Wednesday,17,4
Jet Airways,2019-09-06,Delhi,Cochin,19.15,4.25,9.17,1,10577,September,6,Friday,36,9
IndiGo,2019-05-15,Delhi,Cochin,10.35,21.0,10.42,1,6979,May,15,Wednesday,20,5
Vistara,2019-06-27,Chennai,Kolkata,17.45,20.05,2.33,0,11982,June,27,Thursday,26,6
SpiceJet,2019-06-06,Delhi,Cochin,8.45,13.15,4.5,1,5264,June,6,Thursday,23,6
Vistara,2019-03-03,Delhi,Cochin,6.0,9.1,3.17,0,8001,March,3,Sunday,9,3
Air India,2019-01-06,Delhi,Cochin,19.45,19.15,23.5,2,10651,January,6,Sunday,1,1
Jet Airways,2019-05-24,Kolkata,Banglore,16.3,19.5,27.33,1,10844,May,24,Friday,21,5
Multiple carriers,2019-03-27,Delhi,Cochin,9.45,22.2,12.58,1,6601,March,27,Wednesday,13,3
Air India,2019-03-21,Delhi,Cochin,19.0,19.15,24.25,1,6587,March,21,Thursday,12,3
SpiceJet,2019-03-21,Mumbai,Hyderabad,13.1,14.3,1.33,0,3173,March,21,Thursday,12,3
Air India,2019-09-05,Banglore,Delhi,10.0,12.45,2.75,0,5228,September,5,Thursday,36,9
Jet Airways,2019-06-21,Banglore,Delhi,7.1,10.1,3.0,0,5769,June,21,Friday,25,6
